	Feature	Intercept_mean	CV_HEI_mean	Intercept_std	CV_HEI_std	Intercept_hdi	CV_HEI_hdi	lower	upper	credible	Taxon
96	1fa555f9a74d47a6ca7a65a347bc885f	-5.3986631849999975	-0.0287376407679999	0.1990706899415525	0.0103229711133399	(-5.74982, -4.99026)	(-0.0480152, -0.00892728)	0.0192775592320001	0.019810360767999902	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
97	f9b9b7db378357774e672fe5ba242b12	-9.391854024999988	-0.02836989913304	0.2793967645012187	0.0146292016204418	(-9.94437, -8.90302)	(-0.0559095, -0.0014611)	0.02753960086696	0.02690879913304	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__
100	877f27b47c85f6b2d3cf8a6aa86def40	-4.83189841999999	-0.0277882753115	0.2550379418659184	0.0131272171212234	(-5.28148, -4.33468)	(-0.0536891, -0.00478324)	0.025900824688499996	0.0230050353115	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
101	e71461ffe18aa4dc3b1f7ba4a1011cff	-6.946380859999999	-0.0277240128160499	0.27110598035558	0.0139770388520008	(-7.42536, -6.459)	(-0.0532032, -0.0021709)	0.0254791871839501	0.0255531128160499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
102	8bb5ff097e0707dca3fe5860af20f4a6	-6.2081396450000055	-0.02760405635305	0.1900466612901261	0.009789500243332	(-6.5632, -5.83832)	(-0.0458564, -0.00879466)	0.018252343646949998	0.01880939635305	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 shahii
105	40ced57decad1424c32de76ae039c050	-8.977650955000003	-0.02713008206343	0.2564973073524125	0.0133326185654341	(-9.50601, -8.53126)	(-0.0538365, -0.00266945)	0.026706417936570002	0.02446063206343	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Alitiscatomonas; s__Alitiscatomonas sp900066535
106	9dd9cefe38347b087dd318d82962cc03	-5.269251984999998	-0.0270380207641899	0.2515182447915254	0.0129478009033721	(-5.73893, -4.7935)	(-0.0511366, -0.00265279)	0.0240985792358101	0.0243852307641899	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Faecousia; s__Faecousia sp000434635
107	a24dae6b87885a55d81df1ea6d1abaf5	-5.266594625000001	-0.02698979422145	0.2644526408679999	0.0138144944083999	(-5.76721, -4.7996)	(-0.0530436, -0.00232468)	0.02605380577855	0.024665114221450003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
118	5b00db3216a94bcd5c4842499bf6bf6e	-7.496951055000006	-0.0247032369475999	0.2438071081880857	0.0125858787816838	(-7.94477, -7.05457)	(-0.0488398, -0.00198859)	0.0241365630524001	0.0227146469475999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Faecousia; s__Faecousia sp000434635
119	1664c7d0b9dec6e07df8542c0c4049c7	-8.032011469999981	-0.024437338931	0.2275153166176708	0.0117401184170901	(-8.44741, -7.62059)	(-0.0468189, -0.00396293)	0.022381561068999998	0.020474408931	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__Blautia_A_141781 obeum
122	8a9f7499cdb85b8efa497bb56256cb43	-5.984651480000004	-0.02316840740975	0.1379068953305438	0.0070562864859371	(-6.24133, -5.72568)	(-0.0361356, -0.00976329)	0.012967192590249997	0.013405117409749999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Brotaphodocola; s__Brotaphodocola sp003481825
129	a8d23fd98a311df2db65e5842634aba3	-6.850893605000009	-0.0212420878699999	0.1717879558233171	0.0088254660290247	(-7.13601, -6.48161)	(-0.0396687, -0.00573548)	0.018426612130000103	0.015506607869999897	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerobutyricum; s__Anaerobutyricum hallii
