Feature	Intercept_mean	meat_fg_eaten_mean	Intercept_std	meat_fg_eaten_std	Intercept_hdi	meat_fg_eaten_hdi
d061a99148d649c4eca4836c5f4b5b68	-4.7508384150000005	0.0004633515591249997	0.06370402451366612	0.0004261635442872354	(-4.87623, -4.63446)	(-0.00028355, 0.00130586)
f9f5f08e8da4cc9740518223846563db	-8.045742120000003	-0.0035454301408499945	0.1612318529832288	0.0010815891806152276	(-8.32057, -7.73163)	(-0.00548839, -0.00144768)
40c85a458df8d5a935122ba778d4f334	-5.9115744749999966	0.003469337875549996	0.18884546287169393	0.0013059135446373189	(-6.27528, -5.58292)	(0.000950857, 0.00575701)
7ebc04cb539befd9f2e7faa131628c66	-8.234790825000019	-0.0006679281291429994	0.12802036409247314	0.0008810180951907547	(-8.48705, -8.01482)	(-0.00230743, 0.000939223)
f7ef98bb6d0061b9368a72b1ff40aad0	-9.317343105000017	0.0032436153540999968	0.20890428980063797	0.00137072716607093	(-9.70745, -8.92402)	(0.000575349, 0.00571181)
362b97b08074732371b6e76cd1a894e1	-7.239088045000013	0.0011598475509469997	0.27360619264670877	0.0018927499616823412	(-7.76361, -6.74593)	(-0.00220026, 0.00505939)
2fad39e365933a7f925040cb3c2a5ef8	-6.492676619999984	0.00288369397441	0.1771100358649267	0.0011999838433633747	(-6.82286, -6.16017)	(0.00059395, 0.00506801)
4c855814a58f4f324e8f0cfaab222e1f	-9.381091180000013	0.004236753446489997	0.2422781291796841	0.0017238113513921081	(-9.82193, -8.92369)	(0.00105439, 0.00754558)
2f61368750bbc7603f01c928568e7ad3	-6.799541850000001	-0.0013467282348799993	0.08074416358398605	0.0005435406686954902	(-6.93954, -6.65094)	(-0.00233061, -0.00034096)
599ba6458e91e2527f358f547ea39261	-4.162996785000009	-0.0005340713005549996	0.059960858529658906	0.00039809240025868005	(-4.26949, -4.04642)	(-0.0012712, 0.000214907)
4b548f1f6fc22f32237396b7d4ffee6e	-7.799097920000012	0.0012607780902499984	0.0799300142354147	0.0005366670417192713	(-7.94644, -7.6572)	(0.000279554, 0.00226467)
eb3543a838a705addef1d704eda7cad3	-8.05461524000001	0.00022388046569999997	0.2610200796405181	0.0017892072891151113	(-8.51762, -7.53241)	(-0.0030797, 0.00350463)
2281740c4ae82360612b5bc7e9538337	-6.2972361999999995	-0.0013099231643399997	0.16481092964806665	0.0011363616011803093	(-6.61539, -6.01139)	(-0.00353762, 0.000609639)
96936173022b85940115c9ea103505bd	-7.905893125000006	-0.00182873786405	0.11305921242289085	0.000744611967647319	(-8.11048, -7.68603)	(-0.0031149, -0.000356247)
f45b62ab6ec22fb20364a7e05088158f	-7.0909089099999925	-0.0012187616251650006	0.1672709485212895	0.001130582549651082	(-7.38094, -6.75425)	(-0.00347329, 0.000830823)
c16907f7272c334959e9f980842194cf	-8.557570750000014	0.003414450356249994	0.21440683761703472	0.0014617139481674282	(-8.94787, -8.13319)	(0.000538873, 0.006034)
266c2a374ca451985731e1e1b5961bd2	-8.305049675000003	-0.0005649839540404991	0.13960798993734	0.00094897104647151	(-8.56765, -8.05221)	(-0.00238169, 0.00114763)
2ad8a4ebf774763b765f4ab5b516ff21	-9.44185509999999	0.00046148817480499873	0.16486006212903728	0.0010910884112260467	(-9.77991, -9.14736)	(-0.0018278, 0.00241276)
f12011ad5219b22b6ca790103333a755	-9.207778210000033	0.0003655509561899999	0.0881376670328634	0.0006030828069257679	(-9.37174, -9.04613)	(-0.000646397, 0.00163852)
b9fefd4224e459a6a0d21db63b1c0d03	-9.085316039999995	0.001171088723661498	0.18157251180236067	0.0012464136788050883	(-9.40041, -8.72256)	(-0.00128729, 0.00339486)
0cc2420a6a4698f8bf664d50b17d26b4	-6.084617440000001	-0.0008558913097380003	0.11165560758979548	0.0007460421266575765	(-6.29649, -5.87885)	(-0.00224897, 0.000509051)
33f9226b33e1f59f71edc044bb947764	-4.167869559999996	-0.0011158462723009981	0.18192619861088286	0.0012381174503533934	(-4.50004, -3.82921)	(-0.00332991, 0.00127304)
b4ef8e75d847b17325effd2f3873cc9c	-7.5816572749999915	0.0012583020028649992	0.16335443854613918	0.0011142857116762787	(-7.91033, -7.2818)	(-0.00077104, 0.00339952)
8ffd2b3caa54b2922e98a0d5aab5adde	-6.811181715000001	-0.0015212162378885014	0.14669665636274332	0.0009442057355012128	(-7.08346, -6.5367)	(-0.00327938, 0.00025458)
42608e863ede290f764f14c074e8e4fb	-8.995797485000018	-4.480524278050006e-05	0.12264703551665981	0.0008327431620270574	(-9.21225, -8.76078)	(-0.00164838, 0.00147381)
2a8a90cd5770804a5f23f425004de7e5	-6.394878885	0.0007177763446549998	0.24720955212735352	0.001666194480883174	(-6.87225, -5.94369)	(-0.00234929, 0.00391437)
f19fa34c0c987ab3bd8aa42d8a4d21ec	-8.696019159999993	-0.0019342486006299986	0.1312038726745304	0.0009128670170020608	(-8.96894, -8.47292)	(-0.0036033, -0.000192123)
340a5698fe78713b785c3bcce89df73b	-8.347733495000012	-0.0013402691350449993	0.14034592790863215	0.0009353291039176257	(-8.61729, -8.0894)	(-0.00317483, 0.00032718)
376917760e5aa918592416e980809536	-5.891314219999992	-0.0004392878164950002	0.242288388307388	0.0017212772439654377	(-6.34119, -5.4506)	(-0.00367628, 0.00263689)
589c1370b3324a2d6cff6d1ff85341d1	-7.837293559999993	0.0007007882255775011	0.19912547608361497	0.0013649012839214028	(-8.20748, -7.46045)	(-0.00195877, 0.00325968)
e5a43b018c81cedd19e9a5354d32d469	-6.476426605000004	0.0004988321141449993	0.17524386968714198	0.0011844216517008757	(-6.79965, -6.14868)	(-0.00169265, 0.00265684)
f4dfb45b33372cdc0dc2fd20c0d0b448	-8.435092259999987	0.001684765830845	0.24326302151126944	0.0017338790025870846	(-8.8932, -7.93511)	(-0.00168725, 0.00490759)
e1b3393309a8b247e0c358c26176d13c	-6.846073704999996	0.0010265073709700009	0.07839305494189507	0.000521806084518966	(-6.99352, -6.69173)	(7.01301e-05, 0.00200651)
b47757a69204f053308f7f5f0022edab	-7.647898675000008	-0.0004970150904194993	0.16885020758795175	0.0011396149114893301	(-8.01786, -7.37505)	(-0.00264574, 0.00163186)
03569e3fd843f501355f7853b0ec9361	-6.279934184999994	-4.8036480670999984e-05	0.14075321152618786	0.0009580747189380564	(-6.56868, -6.029)	(-0.00169172, 0.00190178)
25e04b2be57def00437d44ab461e8773	-7.763289075000004	-0.0006804580953510004	0.19971681205220146	0.0013422529192938853	(-8.13621, -7.39711)	(-0.00309274, 0.00180734)
4d04d759f5a6615dac43060726239891	-5.219143594999994	-0.0006867339943435008	0.11679304577895892	0.0007818489320271754	(-5.4548, -5.01609)	(-0.00213891, 0.000743297)
237135dc8b20f922cabee934f7d410a1	-6.652416665000017	0.00047812018818349966	0.15332280668748471	0.0010407558334698784	(-6.96936, -6.38545)	(-0.00147854, 0.00242087)
9dd9cefe38347b087dd318d82962cc03	-5.7915053300000015	0.000162352631785	0.13424406950920054	0.0009349818064849439	(-6.05131, -5.55624)	(-0.00160796, 0.00186962)
c764eda12e92f19526c7e5a78a38c615	-9.850774445000024	-0.00017743287049099997	0.152145486766095	0.0010426171824953524	(-10.1372, -9.5415)	(-0.00209724, 0.00173417)
6fc765c81c8b663cedcd799094894748	-8.530681564999997	-0.0015067436067949978	0.163993757211367	0.0011052240757139817	(-8.85718, -8.24929)	(-0.00355953, 0.000506189)
1a389bf765c8ff0f92600f684fbe7ad7	-5.619193400000005	-0.0020866876828000047	0.11673690818434422	0.0007752235061008383	(-5.8378, -5.39426)	(-0.00353089, -0.000680267)
b0645cbec7653c887cb868a248d95874	-3.8125555949999983	0.0001418480503615001	0.07672811868830087	0.0005080125653652494	(-3.96221, -3.67716)	(-0.000786161, 0.00111373)
d6c46ad81c01997055a3b713c0d5ee1b	-6.400694860000001	1.3988893303999954e-05	0.18985227896414747	0.0012846513570935864	(-6.77928, -6.0817)	(-0.00236146, 0.00234479)
fe2a1f2b6f247658881254d63fd68b74	-6.014917184999997	-1.9073758750000495e-06	0.210565579366918	0.0013938563533727945	(-6.4312, -5.63448)	(-0.00290272, 0.00236642)
89aabf43d24dd5bd0fd0f5aca189d341	-5.416932120000003	0.0010652720722499984	0.04763183712188308	0.0003221000541954076	(-5.50415, -5.32721)	(0.000385479, 0.00160327)
2ae8a432208b85a14e86eb821c86ce2b	-4.57106040999999	0.002021132807499999	0.08230789166071434	0.0005625798671464743	(-4.71232, -4.40647)	(0.000912609, 0.0030305)
f596fa835cdfdb22d6494b012f61fff2	-5.710955025000007	0.00031509619511900007	0.09777929098689242	0.0006771585866406948	(-5.89505, -5.54157)	(-0.000815769, 0.00169315)
