Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi
04195686f2b70585790ec75320de0d6f	-4.846682715000002	-0.042315460612500036	0.3105387076293047	0.012051382687420007	(-5.43431, -4.26663)	(-0.0654207, -0.0206564)
9f4d14b114e7499772a797790d81c1db	-5.207270465000004	0.00924262140414998	0.1080871752639219	0.00416542352954689	(-5.40303, -5.00395)	(0.00215052, 0.0177985)
b1f2146bef78066448576fceeb6b644b	-4.232591530000006	-0.016867280904999993	0.11458255256433723	0.00418665456528487	(-4.44419, -4.01817)	(-0.024425, -0.00880982)
3bff9ab82e7f2a76cc22e687ac7b72fd	-8.084066964999987	0.05180512375000007	0.3761122722467835	0.014429004748847578	(-8.72304, -7.33455)	(0.0243468, 0.0778558)
c1365ec008032ee718dcafaf5ac17adb	-7.005338425	0.0013230006286899989	0.17112146741531112	0.0065719455212339935	(-7.32171, -6.69156)	(-0.0114376, 0.0129317)
cc968157f7691aab95df444e8cd103e2	-5.83814659500001	0.019414011005000016	0.10814273493007284	0.004129017442729912	(-6.03157, -5.63196)	(0.0113192, 0.026835)
09ee2c2d76be17c9ede2d4c57412adeb	-9.178920460000004	0.006835143272149993	0.3568233643686863	0.01373273451451525	(-9.82688, -8.46778)	(-0.0180483, 0.033404)
d9b76ee51ff2b6961430bf352cc578f2	-8.868602239999984	-0.025514311383500018	0.23071951084332346	0.008960207934697633	(-9.34017, -8.4585)	(-0.0425375, -0.0084315)
d2cccbadb958c9c6547274fa10531f74	-6.988396325000002	-0.0031697325544000022	0.1752624205662593	0.006607014021037198	(-7.31906, -6.64284)	(-0.0161419, 0.00893178)
2268b83b6cb307bfd1cd008dae1ce4b3	-7.189481170000016	-0.005760489947855008	0.2985773584544398	0.011462113100909322	(-7.71098, -6.60163)	(-0.0286068, 0.0146223)
e9ad916c93ff127ade2a8283db7603a1	-6.757945895000002	0.022610413611800002	0.45482218129429297	0.017329406539749403	(-7.6217, -5.91687)	(-0.00917217, 0.0548991)
624d0040eafc828499b5009791d96b85	-9.114903385000003	0.0057129140098050035	0.17983427019339712	0.0068716830592599875	(-9.4801, -8.81499)	(-0.0066711, 0.0190088)
bc5146d3526a9ef5179457a2077b1b46	-8.842879195000004	-0.011771111371200002	0.14862361338395047	0.005739221186139956	(-9.13164, -8.5611)	(-0.0220427, -0.00080163)
7bbb537e486b770d58232a6c683a3a9f	-7.189205860000002	-0.0010127436574950005	0.16894387544229134	0.006444358134126514	(-7.51692, -6.87563)	(-0.0122172, 0.0118641)
30c16856bd5bae4cd2f1182341b30ffc	-10.186507505000002	0.04246285747499994	0.29432260619382467	0.011052657002626249	(-10.7533, -9.60871)	(0.0217106, 0.0640178)
ac5402de1ddf427ab8d2b0a8a0a44f19	-3.470588970000003	-0.0062917916934400065	0.15607713121799455	0.005963070401771406	(-3.77761, -3.19626)	(-0.0167119, 0.00544417)
d0037fe3397f56b52e971759e3f2f7a8	-8.25987816	-0.023521714553500005	0.3725673085847907	0.014469903807981849	(-8.94026, -7.53214)	(-0.0496337, 0.00467991)
3d7f3a3956e66e4728521a97abd9f07b	-8.061732389999994	0.021819948054199994	0.3883655715577626	0.014798951837073493	(-8.81182, -7.38491)	(-0.00387976, 0.0503085)
3e15d94435169ddada1e508dd8b83a55	-8.717667025	0.025115699724999937	0.22242024102540517	0.008505909332679844	(-9.16711, -8.32675)	(0.00847854, 0.0406075)
ed1528f4822674c9e1da64b84c778e9f	-6.268939685000004	0.012307559068279971	0.22202617791726892	0.008417745337838104	(-6.66557, -5.84454)	(-0.00403631, 0.0271593)
477734397215c70bdacce28d5685cc6e	-6.1378203299999905	-0.002453533132899998	0.34955045614587776	0.013459129002385427	(-6.75659, -5.47522)	(-0.0276873, 0.0217267)
