Feature	Intercept_mean	CV_vegetables_fg_eaten_mean	Intercept_std	CV_vegetables_fg_eaten_std	Intercept_hdi	CV_vegetables_fg_eaten_hdi
370829fece3190f1a8efccf50b7d0921	-8.308418410000005	0.009869499809999998	0.19663152831901579	0.0029441642799568914	(-8.66387, -7.91623)	(0.00417544, 0.0153574)
b1a153ff5a21342991138e7f7dd2658e	-6.180131105000008	-0.008055270382500004	0.28966440411660666	0.004231905603167885	(-6.75194, -5.66798)	(-0.0162798, -0.00051262)
e39b1ae9776ee98190c8cb02bc9de792	-9.239949504999997	0.0007663815957549989	0.2433436783826631	0.003616866376932833	(-9.7036, -8.80032)	(-0.00591367, 0.00774405)
e71461ffe18aa4dc3b1f7ba4a1011cff	-7.159938080000004	-0.004781295311699992	0.20383107693654945	0.0030075613567941335	(-7.53074, -6.76803)	(-0.0104492, 0.000854877)
90c2b51afe404951ec89bd52c7ae1f58	-8.765889914999994	-0.0034317362576649995	0.3012111878781111	0.004517589339251722	(-9.3632, -8.20066)	(-0.0120156, 0.00533173)
c5af8314e36eaed98fc88f181f539e8f	-7.212258049999995	-0.0014021461828250435	0.17058507160826686	0.0025919054859932233	(-7.54689, -6.90589)	(-0.00611705, 0.00352122)
10cd502b01abafc87e2ecbad86389286	-6.275521184999997	0.0028533170366595033	0.132745850531931	0.001986728084968538	(-6.53317, -6.05241)	(-0.000614202, 0.00664699)
433cf7e272a09b91cc85082a1338b8e1	-7.501104665000005	-0.0035572615893899994	0.13104688283048851	0.0019717646713112162	(-7.73937, -7.25141)	(-0.00721843, 6.64818e-06)
877f27b47c85f6b2d3cf8a6aa86def40	-5.095983835000004	-0.003960672904069995	0.21183556388728228	0.003143614776247874	(-5.46848, -4.6796)	(-0.0101829, 0.0015214)
9ed241a051fe72047261df3b7e08b675	-7.055009699999996	0.0003841954444400003	0.1622545775662738	0.0024395053577859994	(-7.35598, -6.7775)	(-0.00404255, 0.00485944)
04c8be5a3a6ba2d70446812e99318905	-6.503186379999989	0.007899463646999989	0.16144135813321064	0.0023933637379193688	(-6.8313, -6.20869)	(0.00302661, 0.0123746)
