Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi
8720f9ecd2331ce68e2896df1bf2d977	-3.4832124250000063	-0.09148504972154989	0.17944202182534996	0.08418737119947121	(-3.8288, -3.14606)	(-0.255699, 0.0602592)
3af2ddaf4af4b5ae4100439a9c3d4099	-8.64133029500001	-0.15572057775216996	0.2395185638583427	0.11560357753147774	(-9.07877, -8.18634)	(-0.362248, 0.0601554)
de24ab68045830f7ea823f771a1f7dd3	-6.455611234999995	0.04494858449225002	0.22073887241608536	0.10465414008769337	(-6.83393, -6.01335)	(-0.152536, 0.232884)
aec9d6920c8746590e4dff84ba121b90	-8.23415116999999	0.15711613647800027	0.25360211333589283	0.11868714733803608	(-8.70448, -7.75974)	(-0.061878, 0.37392)
192522c9b7c41f7a761f8a2ba792268a	-7.136112475000004	0.15728672065550003	0.2675141454303389	0.12627042010756184	(-7.6882, -6.65611)	(-0.0839629, 0.397453)
458157e555a80f9ba01d9da37ef787eb	-5.563621140000002	0.2751869925650001	0.3077190015192437	0.14621866946367604	(-6.09262, -4.93945)	(0.00146574, 0.547689)
3017f87a3b0f5200ed54eca17eef3cbb	-8.50379151	-0.09618604189700004	0.26424072585224256	0.12450031890216842	(-9.03078, -8.03299)	(-0.323087, 0.140585)
c5e3c5422835403541b0af331a2cc649	-7.239030740000007	-0.6740252974	0.39171237664382325	0.1870690976758718	(-8.00364, -6.53583)	(-1.02495, -0.339913)
be7fc30c58dc772f88007fdefcf21a96	-8.400251710000006	0.23092648216474945	0.19928635651613485	0.09389070693638762	(-8.76864, -8.03332)	(0.0657442, 0.414283)
3d766867c97f511431bf97e059d6498f	-5.533282455000002	-0.10000694537390008	0.17873188104650764	0.08479050725343937	(-5.85681, -5.20253)	(-0.253068, 0.0588672)
9099a7f671b923c7b07c12508f17270a	-7.082430499999995	-0.5142758164999994	0.2377398335837938	0.11505937898631659	(-7.54322, -6.6495)	(-0.739205, -0.309019)
4973330392dab23937c67af9843e5359	-9.051513265000018	0.49136693400000003	0.2669760298243828	0.1258817757773996	(-9.53898, -8.5488)	(0.24525, 0.710493)
2cf53730a41137e7ad95ed3680541d80	-9.48475199	0.15567324258999996	0.34163405066611824	0.1608869419331843	(-10.1569, -8.89883)	(-0.158829, 0.437478)
2a0968119cb66a61a416f8d924c224ac	-6.3193609899999945	0.055917845820500016	0.42234804051862235	0.19911833288462774	(-7.1301, -5.5149)	(-0.339775, 0.435061)
a4e2a4e1321a599651edf92f6999e78e	-8.771313459999996	0.5793086304479992	0.4464042849967149	0.20962383602927695	(-9.55704, -7.93916)	(0.170942, 0.934047)
782772ed674928794b78f5a59ee3d08c	-9.874069469999998	0.22531111558334985	0.2575344950204131	0.12135272160080382	(-10.3974, -9.42136)	(-0.0165288, 0.447965)
ab5c396eaf731e031c9764a05b798753	-8.945965260000001	0.19109943293649942	0.2440993586372821	0.11546982216650142	(-9.36488, -8.43715)	(-0.0198011, 0.419718)
04195686f2b70585790ec75320de0d6f	-4.778918009999995	-0.5613715800000002	0.2776336644836861	0.13053171342878572	(-5.30568, -4.2646)	(-0.807016, -0.314373)
9f4d14b114e7499772a797790d81c1db	-5.21538536	0.11832807327500014	0.11975761551680297	0.056637355582379124	(-5.44557, -5.00069)	(0.00612211, 0.21499)
b1f2146bef78066448576fceeb6b644b	-4.462060445000009	-0.08767421890894997	0.17997684718249732	0.08526568232194227	(-4.77764, -4.11895)	(-0.243263, 0.0668542)
3bff9ab82e7f2a76cc22e687ac7b72fd	-7.7964720550000015	0.5139706862054999	0.44364994304837546	0.21265329329197225	(-8.58505, -6.96288)	(0.126733, 0.916397)
c1365ec008032ee718dcafaf5ac17adb	-7.382110959999997	0.1984409280945001	0.1969300811683638	0.0939922118874491	(-7.76485, -7.0256)	(0.0285462, 0.382666)
cc968157f7691aab95df444e8cd103e2	-5.665457089999991	0.15828722194999992	0.12812222675294052	0.06086143208796033	(-5.88806, -5.42121)	(0.046097, 0.272201)
09ee2c2d76be17c9ede2d4c57412adeb	-9.583189365000012	0.27607719671804987	0.368697814082545	0.1741956472563239	(-10.2774, -8.87522)	(-0.0472888, 0.594841)
d9b76ee51ff2b6961430bf352cc578f2	-9.365373069999992	-0.06219311959800016	0.26944717074572355	0.12836472593568085	(-9.89356, -8.87042)	(-0.289722, 0.193372)
d2cccbadb958c9c6547274fa10531f74	-7.414984939999992	0.16737136382699994	0.20481246304875203	0.09725668726850692	(-7.77194, -7.00063)	(-0.00779649, 0.365531)
2268b83b6cb307bfd1cd008dae1ce4b3	-7.313162759999994	-0.007867677713849988	0.3707953500746499	0.17666164149115843	(-7.99136, -6.62056)	(-0.336907, 0.32458)
e9ad916c93ff127ade2a8283db7603a1	-7.036119000000007	0.40953000994250044	0.516691565272939	0.24513799681766812	(-8.03025, -6.08632)	(-0.025092, 0.893046)
624d0040eafc828499b5009791d96b85	-9.385363565000004	0.20024834462499985	0.20327002679500178	0.09607615780573625	(-9.7467, -8.99952)	(0.0203491, 0.38052)
bc5146d3526a9ef5179457a2077b1b46	-9.180339039999996	0.022596909206149977	0.19047236125794834	0.08998903289687366	(-9.56747, -8.84946)	(-0.13743, 0.197325)
7bbb537e486b770d58232a6c683a3a9f	-7.525160219999995	0.1507511936849997	0.19461610346667502	0.09180107609281948	(-7.90949, -7.1557)	(-0.0429088, 0.313407)
