Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi	lower	upper	credible
90c2b51afe404951ec89bd52c7ae1f58	-8.128137355	-0.034645343	0.397527415	0.015518994	"(-8.86405, -7.37839)"	"(-0.0661005, -0.00788987)"	0.031455157	0.026755473	yes
370829fece3190f1a8efccf50b7d0921	-6.84382551	-0.034259517	0.155584939	0.005829765	"(-7.12603, -6.54684)"	"(-0.0461205, -0.0241961)"	0.011860983	0.010063417	yes
fe2a1f2b6f247658881254d63fd68b74	-5.225100135	-0.032638879	0.351046603	0.013478286	"(-5.86089, -4.52401)"	"(-0.0573447, -0.00651083)"	0.024705821	0.026128049	yes
9099a7f671b923c7b07c12508f17270a	-7.33196159	-0.031382717	0.197624634	0.007628424	"(-7.68304, -6.93009)"	"(-0.0460967, -0.0169154)"	0.014713983	0.014467317	yes
1ef782a559e3e0a4ab42516e0a2c828f	-7.86269007	-0.030402893	0.221248146	0.008284263	"(-8.26094, -7.42912)"	"(-0.0466362, -0.0156605)"	0.016233307	0.014742393	yes
9ac5fec396208e598ab2e2d26985d0df	-7.426419195	-0.028902051	0.12646093	0.004887893	"(-7.65718, -7.19905)"	"(-0.0380487, -0.0202989)"	0.009146649	0.008603151	yes
5e69d50b5a886d1b222f36de84a9dc98	-8.52443073	-0.028563921	0.270923536	0.010306805	"(-9.04581, -8.00731)"	"(-0.0486779, -0.00993257)"	0.020113979	0.018631351	yes
7efeb75fc542932a033b37b887994dc8	-7.6231254	-0.027778731	0.212680015	0.007749353	"(-8.04828, -7.2366)"	"(-0.0431322, -0.0140764)"	0.015353469	0.013702331	yes
bfb7bb16ab570748b3a5d099e9426af1	-7.71527197	-0.027335275	0.151256355	0.00582676	"(-7.98022, -7.41623)"	"(-0.0384326, -0.0162264)"	0.011097325	0.011108875	yes
3f38509af22157cdcb4006457529d25e	-8.22762241	-0.026835389	0.211964868	0.008005585	"(-8.61499, -7.83623)"	"(-0.0423795, -0.0126584)"	0.015544111	0.014176989	yes
4b548f1f6fc22f32237396b7d4ffee6e	-6.977416625	-0.026759763	0.133602314	0.005109406	"(-7.22075, -6.72175)"	"(-0.0360262, -0.0169845)"	0.009266437	0.009775263	yes
d9b76ee51ff2b6961430bf352cc578f2	-8.85519458	-0.026039285	0.236475749	0.00918855	"(-9.28838, -8.40129)"	"(-0.0427684, -0.00844853)"	0.016729115	0.017590755	yes
ccee9fc92f4182805278384a02a4d7d3	-9.092971265	-0.025944184	0.222905808	0.008626704	"(-9.54254, -8.6997)"	"(-0.0421794, -0.00954977)"	0.016235216	0.016394414	yes
a66dd8d31584930c2b0f811f572dddcf	-6.209240745	-0.02533295	0.220219381	0.008345588	"(-6.64173, -5.80004)"	"(-0.0416138, -0.0104362)"	0.01628085	0.01489675	yes
481e48328fe7a9837c7233de8f60fc23	-8.55700206	-0.025023205	0.247657749	0.009518206	"(-9.03894, -8.10406)"	"(-0.0423527, -0.00643076)"	0.017329495	0.018592445	yes
399bcf0feb12a20ca0731d8d65268dae	-5.72930678	-0.022886178	0.225362365	0.00859304	"(-6.16408, -5.30598)"	"(-0.038276, -0.00614599)"	0.015389822	0.016740188	yes
c82032c40c98975f71892e4be561c87a	-6.491799785	-0.022581108	0.101476924	0.003786664	"(-6.67847, -6.30982)"	"(-0.029267, -0.0156495)"	0.006685892	0.006931608	yes
c942f59feffce9c3ab527135de234101	-4.688663985	-0.021983545	0.158370774	0.006038934	"(-4.98716, -4.41442)"	"(-0.0333145, -0.0109282)"	0.011330955	0.011055345	yes
