	Feature	Intercept_mean	HEI_mean	Intercept_std	HEI_std	Intercept_hdi	HEI_hdi	lower	upper	credible	Taxon
374	7c82a2ef7685c5c6dc3080f56033cee9	-11.45466386499998	0.03867065136	0.8237944000405149	0.0126325019623346	(-12.919, -9.83391)	(0.0145685, 0.0616282)	0.024102151360000004	0.02295754864	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Oxalobacter; s__Oxalobacter paraformigenes
375	c764eda12e92f19526c7e5a78a38c615	-12.448648610000008	0.0393266290729999	0.7732926047853217	0.0118072422384337	(-14.0855, -11.1127)	(0.0191332, 0.0648299)	0.0201934290729999	0.025503270927000096	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__UBA5905; s__UBA5905 sp002437905
376	d6c46ad81c01997055a3b713c0d5ee1b	-8.992174379999977	0.0395023520099	0.8387640625955047	0.0128981256380826	(-10.6825, -7.42765)	(0.0153756, 0.0659514)	0.024126752009900002	0.02644904799009999	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Anaerotardibacter; s__
377	6c83fec6e8d03fad51eabc871853c991	-10.983780069999986	0.04000651065	0.7976148293972446	0.0122883774993635	(-12.4181, -9.51571)	(0.0187378, 0.0630959)	0.02126871065	0.023089389349999996	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
378	2ae945b550c248752a5b463c9aca1a6a	-12.144175410000011	0.0407346661214999	0.8206855862507464	0.0125487990402673	(-13.6587, -10.6826)	(0.0190707, 0.0647649)	0.021663966121499904	0.024030233878500097	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Paludihabitans; s__Paludihabitans psychrotolerans
379	6d8fe4ac153ead767024e041ff1f0ec6	-11.010995735000035	0.0407809646649999	0.9638253075345964	0.0147781665831195	(-12.7473, -9.18742)	(0.0131882, 0.067827)	0.027592764664999898	0.0270460353350001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__CAG-272; g__Avispirillum; s__
380	96169c3701e79f42346c41eb7b5bf2af	-12.162554729999997	0.0411789159099999	0.6678853995233212	0.0101872780924214	(-13.4097, -10.8512)	(0.0209391, 0.0602341)	0.0202398159099999	0.0190551840900001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__
381	79d5bee84cddbb27acb4dd7df378c789	-10.000931319999989	0.041199489205	0.7155795615963737	0.0109785068697637	(-11.3322, -8.68844)	(0.019995, 0.061175)	0.021204489205000003	0.019975510794999998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
382	e91f1c5b67ffecb5ca3ca3b393a50f00	-7.361133099999995	0.0416142191349999	0.5871935674424492	0.0090008356791024	(-8.40719, -6.2087)	(0.0253249, 0.0591009)	0.0162893191349999	0.017486680865000097	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
383	e82ab12c51a893c6d7938a16632199a8	-10.319386399999994	0.0421206721328498	0.9231369916203336	0.0141683038754697	(-12.0242, -8.58711)	(0.014901, 0.0675544)	0.0272196721328498	0.025433727867150202	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
384	490d2aec117bd7289577684ba3cc1b64	-9.637426124999992	0.042641968755	0.8281452156907231	0.0127508935516336	(-11.2319, -8.0573)	(0.0189843, 0.0677967)	0.023657668755000003	0.025154731245	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis
385	8f5959f21dc9ce9a281656f8d699ec07	-9.70987831	0.0434548432	0.5385856321255179	0.0082967638278032	(-10.6735, -8.63948)	(0.0283642, 0.0594262)	0.015090643200000003	0.015971356799999996	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__
386	30c16856bd5bae4cd2f1182341b30ffc	-11.952711390000012	0.043898982725	0.7297347943189826	0.0111436267691409	(-13.3096, -10.5866)	(0.0237214, 0.0654244)	0.020177582725	0.021525417274999993	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
387	686d42b9552375c3b61301ae5605e3a2	-9.536512444999987	0.0463245299179999	0.8650787145966382	0.0133376250219898	(-10.9839, -7.76142)	(0.0195911, 0.0697283)	0.0267334299179999	0.02340377008200009	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
388	97f26830027d30dfbd60b54895af0660	-12.111486185000013	0.0464756625	0.7355649851204146	0.0113627131025228	(-13.512, -10.7913)	(0.0263999, 0.0684866)	0.0200757625	0.022010937499999994	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter sp003529475
389	b423592b0ae631882095792b27729b9c	-11.847294824999969	0.04666441872	0.8228268224009647	0.0125685181994904	(-13.2637, -10.2629)	(0.0228901, 0.0685584)	0.023774318720000003	0.021893981280000002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
390	cae14798faeabb8e1b8840e712839921	-10.318754964999997	0.0473313246499999	0.6001415372715	0.0092188274450033	(-11.6152, -9.28155)	(0.0316657, 0.0673799)	0.015665624649999904	0.020048575350000104	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
391	f8529e2e737999b4a7d06420482d4af3	-11.594466330000014	0.0473518066455499	0.9484460210884592	0.0145992879586463	(-13.3516, -9.84224)	(0.0194893, 0.0741806)	0.0278625066455499	0.026828793354450098	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
392	25e04b2be57def00437d44ab461e8773	-10.977460294999988	0.0476346329912	0.9892357432525194	0.0152242255459636	(-12.8472, -9.12751)	(0.0191456, 0.0768523)	0.0284890329912	0.029217667008799998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
393	69d052e452e79d571cba042af265d50c	-8.239891940000007	0.047824283145	0.9547751106143983	0.0147207476570238	(-10.031, -6.52181)	(0.0222317, 0.0759832)	0.025592583145	0.028158916855	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
394	1243750138937650754b619370565800	-9.418075820000007	0.0501011199	0.5588553239439772	0.0085740297761399	(-10.4188, -8.37659)	(0.0334222, 0.064982)	0.0166789199	0.0148808801	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
395	7dfa96abfa7484bb6c9cfa90dc9b606f	-9.475403090000013	0.0562017972499999	0.4817482564274126	0.0074176928197221	(-10.299, -8.54995)	(0.0420993, 0.0690919)	0.014102497249999901	0.012890102750000097	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
396	f45b62ab6ec22fb20364a7e05088158f	-11.47660740999998	0.06404863685	0.8322942570942626	0.012773533904333	(-13.0193, -9.89003)	(0.0408068, 0.0894282)	0.023241836849999996	0.025379563150000006	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola; s__Muricoprocola aceti
397	266c2a374ca451985731e1e1b5961bd2	-12.663383750000014	0.06461605115	0.5623238015333666	0.0086245128622658	(-13.7008, -11.568)	(0.0486049, 0.0809346)	0.016011151150000007	0.01631854884999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
398	b10627ff6db16c65eed2f21380dd700f	-10.578518845000003	0.0673548442999999	1.020821447536893	0.0156457787338974	(-12.3596, -8.66782)	(0.0389591, 0.0955603)	0.028395744299999894	0.028205455700000104	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
399	9c25197937d1f54e2634026fbca6b55f	-11.574442125000015	0.0685709807299999	1.2963914642772592	0.0199440639585242	(-13.8858, -8.85714)	(0.029994, 0.106791)	0.0385769807299999	0.0382200192700001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Jutongia; s__
400	f10155af1849a17996f302d71b32398c	-14.463548549999985	0.09412813645	0.94636458694728	0.0144719332130467	(-16.2679, -12.7314)	(0.0657817, 0.119851)	0.028346436449999998	0.025722863550000002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Suilimivivens; s__Suilimivivens aceti
