Feature	Intercept_mean	vegetables_fruits_mean	Intercept_std	vegetables_fruits_std	Intercept_hdi	vegetables_fruits_hdi
8183f1e3f9806994e125b1d5c6932498	-6.653758094999999	0.0006392847497014999	0.15723280410658902	0.00040203275330711734	(-6.94943, -6.37446)	(-0.000108896, 0.00136864)
92f000f936d3f349c5e7719a5edc5078	-7.223770220000008	-0.00023038767879599964	0.0876956241984262	0.00022462183776447635	(-7.38441, -7.07557)	(-0.000649331, 0.000182801)
6509bd0f539df985ac2f40c335cdb999	-8.920328559999989	0.0010892321055245011	0.18487929268830114	0.0004744024097348406	(-9.26927, -8.59361)	(0.000251852, 0.00201279)
c4f9ef34bd2919511069f409c25de6f1	-4.670639245000007	-8.283409386099999e-05	0.21634067358839382	0.0005610916598237306	(-5.06824, -4.29019)	(-0.00115392, 0.000932611)
74923f4bbde849e27fc4eda25d757e2a	-7.004153215000017	-0.0047606125	0.21721256795709076	0.0005673160050128585	(-7.38383, -6.57194)	(-0.00582827, -0.00368033)
3edf7e19ca2ce44d4d3daa243e8725f7	-9.768029729999997	0.0005476063892704996	0.1279440073400356	0.0003171318251849503	(-10.0384, -9.55281)	(-6.90967e-05, 0.00110521)
ebab7cfc7858bfb00c486bba21d6ca6d	-6.233251325000003	0.001572662977999999	0.16237500243693404	0.0004265471536514853	(-6.52748, -5.924)	(0.000788707, 0.00237508)
8937656c16c20701c107e715bad86732	-3.0515952350000015	-0.0005007120744995	0.11873334392303111	0.00031078201253459435	(-3.25889, -2.80963)	(-0.00109971, 7.42179e-05)
6a6880faba39965be0e4b7d88966d1c9	-6.5841887350000095	0.000675991101184998	0.1634373308291279	0.00042875015078683835	(-6.90647, -6.27509)	(-9.81474e-05, 0.00154754)
85c05d873041801d03eed489230b23f6	-8.497432194999986	0.0010877948959999999	0.1012853028767352	0.00026046678487920915	(-8.68532, -8.30873)	(0.000573245, 0.0015648)
6d8fe4ac153ead767024e041ff1f0ec6	-8.760070790000004	0.0011408543546950008	0.2681753417122385	0.0006935417741246382	(-9.258, -8.25979)	(-0.000194674, 0.00247073)
ed5952d1e022067b212146b9b3bc6812	-5.017229489999991	0.0007653774926162008	0.2630406597413029	0.0007016543876151179	(-5.48737, -4.5044)	(-0.00054006, 0.00205141)
7029eddc845e01d613a3bbc113ebeaba	-6.8277545449999915	0.0008852644370150012	0.16030482267634052	0.00041208622756506443	(-7.15025, -6.55544)	(0.000135877, 0.00162221)
41d23d8bc82f57b26b6896d5e2e947e8	-9.93609296	0.00078303353968	0.1680513922939599	0.000431981991950394	(-10.2865, -9.62809)	(-5.29923e-05, 0.00162367)
0021d135d4ac12982cc8abdf2b38e23f	-6.246676720000024	-0.0014013714131200022	0.3015668864150068	0.0007664230966600897	(-6.80505, -5.68204)	(-0.00289691, -8.65687e-06)
e4c0082e2ab8c9772768fc29bb86caa3	-6.786799330000008	0.0003668639782785005	0.11972522083149868	0.000307163801130223	(-7.03889, -6.58219)	(-0.000228006, 0.000936746)
46d8ab5615f60d7b522f3590976668be	-9.201382420000002	0.0006135369811100013	0.11368790090569707	0.0002826862491839622	(-9.40439, -8.98495)	(7.17392e-05, 0.00110797)
28bb502265419a0e86626d75a1183ce7	-9.034751540000011	0.0019476357004000009	0.24870303062352997	0.0006438135814102441	(-9.49641, -8.55393)	(0.00067688, 0.00314564)
ea3af29626a95b6c7b89d631bf1a739c	-6.093350540000022	0.0018911724809999994	0.1320699190175735	0.00034063717951671955	(-6.33637, -5.8428)	(0.00123955, 0.00253743)
94b000e59b7ac160b0416c9ab45ff0bf	-7.033111440000002	-0.0012658132508085018	0.25720445941143105	0.0006654327996865297	(-7.4746, -6.55122)	(-0.0024787, -2.11402e-05)
75878b49cacdd2ffdcea1186a43be92d	-7.677248565000002	-0.0010721978955099995	0.12954064907622925	0.0003330568479694879	(-7.91947, -7.44553)	(-0.00168646, -0.000470472)
aea50462b44fe88301c739b72353e16f	-8.480724225000003	5.37517959965e-05	0.13421392465724039	0.00034079042327073915	(-8.73956, -8.2433)	(-0.000597247, 0.000665451)
2d575dfaf20c70d49b09be32a1492254	-8.82967929000003	2.153881033850003e-05	0.10216870608946697	0.0002572066503105219	(-9.01189, -8.63339)	(-0.000453144, 0.000516944)
b955f67a541a149dd3b179dc62d37a72	-7.910255265000018	0.0001731432453864997	0.13813671837867653	0.00034260782240834	(-8.16179, -7.64129)	(-0.000462969, 0.0008171)
ad7bc2bb6e1ec90a9bc3c8949bce80d6	-5.794747489999999	-0.0014496556867499971	0.2964252731018392	0.00072123469301215	(-6.35716, -5.27421)	(-0.002817, -0.000119489)
