	Feature	Intercept_mean	CV_fruits_fg_eaten_mean	Intercept_std	CV_fruits_fg_eaten_std	Intercept_hdi	CV_fruits_fg_eaten_hdi	lower	upper	credible	Taxon
40	913d55d109820d0f3fad120be103c64f	-7.891056709999998	-0.0053922696083999	0.1732175903918995	0.0016393457650558	(-8.20313, -7.55192)	(-0.00843, -0.00226188)	0.0030377303916001	0.0031303896083999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
41	1243750138937650754b619370565800	-5.63829680000001	-0.00531177318465	0.1538818163463767	0.0014497298657495	(-5.93438, -5.34574)	(-0.00826041, -0.00277517)	0.0029486368153499995	0.00253660318465	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
42	3a1461e8439091ad6b93af0ddb3849eb	-6.584940120000004	-0.0052626286201999	0.2702707254206153	0.0026344232595364	(-7.14177, -6.15021)	(-0.00994525, -0.000459872)	0.004682621379800099	0.0048027566201999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__TANB77; f__CAG-508; g__CAG-269; s__CAG-269 sp000431335
43	25e04b2be57def00437d44ab461e8773	-7.378108074999996	-0.0051731143855	0.2583452356764961	0.0025065957605512	(-7.89714, -6.91787)	(-0.00987515, -0.00028096)	0.004702035614499999	0.0048921543855	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
44	95fb1be2ae50b6d347649ea76c2a1874	-8.548659374999989	-0.0051351372516999	0.1678439355986963	0.0016152052878193	(-8.84506, -8.21767)	(-0.00821739, -0.00222994)	0.0030822527483000996	0.0029051972516999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155590; s__Mediterraneibacter_A_155590 butyricigenes
45	96169c3701e79f42346c41eb7b5bf2af	-8.993468819999993	-0.0051277532584999	0.1748605026236847	0.0017100673602919	(-9.29056, -8.64458)	(-0.00813797, -0.00178124)	0.0030102167415000996	0.0033465132584999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__
46	e0b7bd623a1b4cd1640883066e8d96bd	-9.071019469999992	-0.0051185236864999	0.1739452670724878	0.0017292234122416	(-9.39443, -8.75725)	(-0.00830265, -0.00178961)	0.0031841263135001	0.0033289136864999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
47	6a6880faba39965be0e4b7d88966d1c9	-5.868515175000006	-0.0051127204649999	0.1683084581830912	0.0016238904653979	(-6.17172, -5.54714)	(-0.00810503, -0.00216842)	0.002992309535000099	0.0029443004649999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter sp003529475
48	2ae945b550c248752a5b463c9aca1a6a	-9.010238025000003	-0.005096091193187	0.220147117410039	0.0021376589638243	(-9.37794, -8.55956)	(-0.00892087, -0.00099814)	0.0038247788068129993	0.004097951193187	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Paludihabitans; s__Paludihabitans psychrotolerans
49	f8529e2e737999b4a7d06420482d4af3	-8.021289094999997	-0.0050513200212799	0.262303603519149	0.0024943449316515	(-8.51687, -7.53013)	(-0.00948138, -9.97077e-05)	0.004430059978720099	0.0049516123212799005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
