Feature	Intercept_mean	phosphorus_eaten_mean	Intercept_std	phosphorus_eaten_std	Intercept_hdi	phosphorus_eaten_hdi
1c94105978b1aa2095e3c0096774f240	-8.171311774999984	-0.04246373660449999	0.26898335308936766	0.2806689477884424	(-8.65077, -7.6299)	(-0.540802, 0.510953)
27b636c66fa117272ed27920bad78969	-8.803752914999992	0.42798638134799954	0.29103573945557404	0.3021826273348105	(-9.34014, -8.24139)	(-0.178051, 0.942887)
7201d53bd647437ec3de879774eba498	-6.811352139999986	0.10748342987824983	0.4694195361754989	0.49245228585430945	(-7.64967, -5.85915)	(-0.86142, 1.02029)
f8529e2e737999b4a7d06420482d4af3	-9.113362449999999	0.6692049086388009	0.462560998425178	0.4792968074072153	(-10.0287, -8.28189)	(-0.206652, 1.61044)
959d48a11e3b26c9268f0bd1dae6ec40	-4.096529839999994	-0.1331800045125	0.11802348709928209	0.12224935234205213	(-4.32652, -3.88756)	(-0.356298, 0.0985991)
bd0f4e14387ee1ac7e5fe586cadbbed4	-8.611794169999992	-0.2980694845900002	0.1537203665257505	0.16026551285070478	(-8.88261, -8.30417)	(-0.612123, -0.0102014)
66047b69a772cae3e37186eb74254da7	-9.54152361499998	0.729836008342501	0.35772863511268127	0.36731370574942845	(-10.1939, -8.86323)	(0.0853937, 1.45626)
4207ad1746e5fbce9c5ed5efe1e357d9	-7.721370030000012	0.35195584783400036	0.16551400218772747	0.17165679807319736	(-8.02436, -7.41576)	(0.0413837, 0.670191)
30207d209491dfb7de83344e77fd6fbd	-6.178757815	-0.13945006597000006	0.1805593415336791	0.18997854337389772	(-6.52701, -5.84687)	(-0.486217, 0.233272)
3e93fd55a231bb99b67a666bad8446a8	-8.388903360000008	0.13869709246074993	0.1863120025119435	0.1946499254431112	(-8.73045, -8.03869)	(-0.263854, 0.472164)
d39f37b814ebd81091a949f8bd9d1710	-6.071326380000012	-0.1849206496974997	0.25765064469412013	0.26923676711933964	(-6.50687, -5.55712)	(-0.681212, 0.31417)
706b0d627a9ba61b18e6b7b39622ac1f	-8.847813455000024	-0.16137557908300001	0.2607883714246342	0.268428234412134	(-9.34909, -8.3608)	(-0.676893, 0.316155)
32382a0f5831da5faee464d011b5616c	-5.244701905000004	-0.7309939873100009	0.4892245334144858	0.5106834363107657	(-6.19219, -4.3844)	(-1.66239, 0.234446)
fcd575ef43a2ae77d9b7c10639e80fd8	-9.778770015000003	-0.04867829754950009	0.2883312938571698	0.2962509326398584	(-10.3513, -9.2898)	(-0.561724, 0.54221)
fdb1c35a8dab336d65ed22d796e71e4b	-6.67903634	-0.04328636424600002	0.5008437975234435	0.51916259498606	(-7.60167, -5.71408)	(-1.00566, 0.953872)
25def15fb42bed6855ede4893d27a21d	-4.7590926199999934	-0.5736917776045006	0.31103515813318555	0.31959305580893854	(-5.34572, -4.19538)	(-1.1789, 0.00657771)
2a13ecb6c618ddf8154298c69336dd8e	-8.844463865000003	0.31757567606804965	0.38938917270952933	0.4016187631644295	(-9.59223, -8.12927)	(-0.459796, 1.06736)
9ad89cc951aa3031c19c59c95e401614	-9.281508465000018	-0.40305942440550013	0.2846919974196566	0.29629235854531394	(-9.84478, -8.77188)	(-0.968934, 0.150746)
55d4d3011e1f3bb8e4e5089b801b61a4	-9.848312054999994	0.45288370289499946	0.2749143611291108	0.27978214646466354	(-10.3893, -9.37124)	(-0.0574507, 0.986098)
4ed55370307d6700d110b6d3f1196136	-8.292929870000009	0.6642325720045016	0.4506489924526437	0.4714717279680058	(-9.15258, -7.44559)	(-0.197142, 1.5834)
154c25181234441402124e02c204074c	-9.791467270000012	0.32503334765100034	0.3270838747063926	0.34057421877081634	(-10.4083, -9.1903)	(-0.276188, 0.984447)
370829fece3190f1a8efccf50b7d0921	-7.328010000000009	-0.35882462504600066	0.19434831343106654	0.19787949560625684	(-7.70203, -6.98711)	(-0.747919, -0.0178942)
b1a153ff5a21342991138e7f7dd2658e	-6.906179614999995	0.24736408370900015	0.41980538354182845	0.4394756016754048	(-7.70246, -6.13962)	(-0.599722, 1.02819)
e39b1ae9776ee98190c8cb02bc9de792	-9.403887610000005	0.22452868276799992	0.2561850281989324	0.2633509697538037	(-9.90705, -8.94046)	(-0.275507, 0.706962)
e71461ffe18aa4dc3b1f7ba4a1011cff	-7.627456925000001	0.17961092561600017	0.25035086242830157	0.2611004592790219	(-8.08563, -7.13996)	(-0.323521, 0.666175)
90c2b51afe404951ec89bd52c7ae1f58	-8.62853137999999	-0.38377377966049997	0.4169317709074179	0.43476068319087496	(-9.489, -7.90801)	(-1.21227, 0.416675)
c5af8314e36eaed98fc88f181f539e8f	-7.384818515000022	0.09013303502199986	0.20013813661879815	0.20671567048296044	(-7.75843, -7.02215)	(-0.31904, 0.451952)
10cd502b01abafc87e2ecbad86389286	-6.191068324999996	0.10561199432641492	0.14655996518607792	0.15065735342938485	(-6.46941, -5.9284)	(-0.16476, 0.395117)
433cf7e272a09b91cc85082a1338b8e1	-8.046626900000014	0.33828871263499954	0.150970013103563	0.15500244110425224	(-8.34238, -7.78268)	(0.0594324, 0.624419)
877f27b47c85f6b2d3cf8a6aa86def40	-5.673385665000001	0.3469761571239998	0.23054036259938906	0.23650843325272308	(-6.10526, -5.22577)	(-0.120576, 0.76224)
9ed241a051fe72047261df3b7e08b675	-7.436869339999996	0.4292110704910019	0.18113786820172184	0.18712869182598457	(-7.75922, -7.05812)	(0.0770818, 0.803988)
04c8be5a3a6ba2d70446812e99318905	-6.067679484999989	0.09036603192171998	0.16813916373226312	0.1729626308963364	(-6.41739, -5.76536)	(-0.266367, 0.399588)
e0b7bd623a1b4cd1640883066e8d96bd	-9.699045055000008	0.17416673061452964	0.28461352307962623	0.2970453055053098	(-10.2427, -9.18769)	(-0.411356, 0.682564)
6a17479edbe461431433bddb084f731e	-6.249527670000008	-0.22606688881075013	0.2622302543399046	0.272840633082567	(-6.71735, -5.76167)	(-0.764276, 0.234194)
35513c8de34a49ef37dde85737e6aef9	-7.755343574999996	0.00351217976999999	0.336481151564199	0.3501225684792188	(-8.40338, -7.13811)	(-0.610701, 0.698634)
