Feature	Intercept_mean	fat_eaten_mean	Intercept_std	fat_eaten_std	Intercept_hdi	fat_eaten_hdi
4ed55370307d6700d110b6d3f1196136	-8.19077302500001	0.005518927997605008	0.46834432092457357	0.004773126753020755	(-9.09129, -7.39564)	(-0.00321168, 0.0142459)
154c25181234441402124e02c204074c	-8.811221965000005	-0.007215990393149991	0.38044214413717214	0.003919477583985325	(-9.51312, -8.06292)	(-0.0145103, 0.000396492)
370829fece3190f1a8efccf50b7d0921	-7.103564875000011	-0.005880319395400003	0.25670117125518604	0.0026385568695467343	(-7.5812, -6.64408)	(-0.010626, -0.000892519)
b1a153ff5a21342991138e7f7dd2658e	-6.559565800000012	-0.0012019502427600005	0.494336724519694	0.0051060353477188885	(-7.43073, -5.62991)	(-0.0106541, 0.00821516)
e39b1ae9776ee98190c8cb02bc9de792	-8.989769594999986	-0.0020709885718750024	0.3366401114601257	0.0034659738096589608	(-9.68302, -8.39465)	(-0.00814564, 0.00499955)
e71461ffe18aa4dc3b1f7ba4a1011cff	-7.485723715000021	0.0002747191599489999	0.30852496663795104	0.003164736936057482	(-8.09876, -6.95923)	(-0.00580127, 0.00589847)
90c2b51afe404951ec89bd52c7ae1f58	-8.593490404999994	-0.004100830969310004	0.4107927745157964	0.004236409372702064	(-9.33045, -7.85933)	(-0.0120606, 0.0034525)
c5af8314e36eaed98fc88f181f539e8f	-7.324418575000011	0.0002574090348069996	0.22241422094286004	0.0023059789977992458	(-7.78007, -6.94791)	(-0.00410898, 0.004524)
10cd502b01abafc87e2ecbad86389286	-6.1074591699999985	0.0001893239587469997	0.17023802450043612	0.0017606069649979904	(-6.40783, -5.78234)	(-0.00312211, 0.00325356)
433cf7e272a09b91cc85082a1338b8e1	-7.831116089999995	0.001121518440565	0.16835720078485492	0.0017371637757232668	(-8.13691, -7.51952)	(-0.00183952, 0.00444431)
877f27b47c85f6b2d3cf8a6aa86def40	-5.496610200000004	0.0015705821223350011	0.25722910051811787	0.002655556899640755	(-5.98533, -5.05602)	(-0.00338893, 0.00638361)
9ed241a051fe72047261df3b7e08b675	-7.193294174999985	0.0017559584614050047	0.1983786643107553	0.0020286536093733847	(-7.5559, -6.82473)	(-0.00204913, 0.00548569)
04c8be5a3a6ba2d70446812e99318905	-5.896831674999999	-0.0009024144131400005	0.1965791960807256	0.002017824527851748	(-6.27336, -5.51511)	(-0.00462322, 0.00321653)
e0b7bd623a1b4cd1640883066e8d96bd	-9.870189194999993	0.003468053446951004	0.35549762106489824	0.0036607237158737455	(-10.5342, -9.23248)	(-0.00303999, 0.0105201)
6a17479edbe461431433bddb084f731e	-6.042746920000001	-0.00446113863914	0.27905761655689243	0.0028950142951469013	(-6.5481, -5.49173)	(-0.0101359, 0.000988142)
35513c8de34a49ef37dde85737e6aef9	-7.6417992799999945	-0.0011603553200930001	0.38853539343267285	0.003983486296669024	(-8.36078, -6.96446)	(-0.00839752, 0.00638553)
69536042153447ceb692aa53159ce0c2	-7.296420189999995	-0.00022435945792750054	0.1848684544425142	0.0019079940510395039	(-7.61023, -6.90198)	(-0.00378969, 0.00341455)
0f92fcc184a951ff8b0914467ad2f8f9	-6.640161215000009	-0.0036364691455100053	0.21574807687132172	0.002232661275504508	(-7.08132, -6.2761)	(-0.00765395, 0.00070263)
e9d9bafcf863ec0908ce4e20e6386ff9	-10.007224834999993	0.005540827937917997	0.3280588621457632	0.0033388195217881034	(-10.6155, -9.38872)	(-0.000928387, 0.0113858)
979578981da3916b394bf24c32bace21	-7.366019885	0.00598054631846001	0.38027278562294836	0.003953401147542259	(-8.0607, -6.64409)	(-0.00144845, 0.0130292)
5860dac317300b1fe6094e958240cc7f	-7.955239650000012	0.003369259392029998	0.18624299491303714	0.0019209738750733825	(-8.29327, -7.59043)	(-0.000572225, 0.00673104)
3a1461e8439091ad6b93af0ddb3849eb	-6.758499485000004	-0.003304375420558996	0.4699705380391251	0.0048115653626064625	(-7.689, -5.9069)	(-0.0127399, 0.00551965)
d32627161d829a1488c2a047669cb29f	-5.896615805000001	-0.0033761126505999885	0.5919073222009953	0.006094048424880492	(-6.91558, -4.71984)	(-0.0153336, 0.0073676)
e2c3ff4f647112723741aa72087f1bfa	-3.166944095	-0.001412675741445	0.20625131394728377	0.0021318433649746837	(-3.54624, -2.73986)	(-0.00562168, 0.00248927)
426bd7119a31b73ef734771a071a216c	-6.3294545550000185	0.005217144454400004	0.268854611465197	0.002776715817614031	(-6.85271, -5.8415)	(0.00013532, 0.0105625)
aed0d8840bb7da5eacd80c6f9a1f91ed	-9.092618899999994	-0.006546019213750009	0.33011164052785213	0.0034066548256674097	(-9.73036, -8.49367)	(-0.0128012, -0.000363418)
0b05a2e48cdc5f9e766bb0f4c209d4b4	-8.321629334999992	-0.004732424513695003	0.22330067588882885	0.002296236571495356	(-8.73031, -7.90593)	(-0.00910486, -0.00062043)
31c0a0bcf172474d82c69979df243e78	-6.340464775000001	0.0022501491791399944	0.17602350733566632	0.0017989854741177404	(-6.66029, -6.01147)	(-0.000992826, 0.00559612)
f9b9b7db378357774e672fe5ba242b12	-10.220424845000027	0.003171593816013496	0.3059494703650847	0.0031161659256710656	(-10.7825, -9.62262)	(-0.00280253, 0.00871731)
95f975f50235610bca818dcc9d97f7d6	-8.506932405000004	-0.0033358464360049964	0.49205022125893383	0.005077631727944713	(-9.43027, -7.66361)	(-0.012092, 0.00621892)
ecaa9f4e15a28f212d9bd60f749191ab	-7.401580380000004	0.000557478168440002	0.27046098879497477	0.002784661482089615	(-7.94269, -6.91637)	(-0.00452119, 0.00597816)
a6fa2de5f4576d1d77b1616786e3dd52	-8.384775004999998	-0.003986844001149998	0.18919240371986384	0.0019642270676086936	(-8.74445, -8.04909)	(-0.00739145, -0.000200127)
1fa555f9a74d47a6ca7a65a347bc885f	-6.442240215	0.005288569888600006	0.2061688858899515	0.002115052619337268	(-6.79453, -6.01611)	(0.00131132, 0.00916529)
149e7d5e484d157f2ac6140a2111618e	-4.113463574999995	-0.001094820245265002	0.20418438998946356	0.0020994737209398874	(-4.48315, -3.71257)	(-0.00515527, 0.00273396)
605c54065160b61d47c4d5f87ffbe6bb	-8.482670264999996	-0.004870955707449996	0.3140927080429916	0.0032247086899841446	(-9.08001, -7.88665)	(-0.0105748, 0.00185692)
5034598009be77942a505e7c9978b06b	-7.618239975000002	-0.00497894889272499	0.27139524239262064	0.0028049658534844467	(-8.09541, -7.09883)	(-0.0105375, -0.000145607)
8526f1f5fd2dcff7e7a73db743c829d2	-6.337033795000013	-0.0010686414579679998	0.252464043076728	0.002593563732461039	(-6.83333, -5.88075)	(-0.00581288, 0.00403152)
24ef07664cfa04a819d7797a89e653b6	-9.272667104999984	-0.002757627588824249	0.3755078312198944	0.0038811575282501967	(-9.9891, -8.56367)	(-0.00963729, 0.00514575)
03fdbec0c9b63a05ae79f92c6d3a4cfc	-7.336427639999993	0.0024172155898734477	0.5112303750812648	0.005231365934185302	(-8.33071, -6.35819)	(-0.00744871, 0.0126085)
aa3e2d76e864d7909b51110e211ef36c	-9.208009174999987	0.004275135749445002	0.45862124346433136	0.0047490324770446055	(-10.0546, -8.28959)	(-0.00438505, 0.0134637)
7efeb75fc542932a033b37b887994dc8	-8.345800875000014	0.00081319816302	0.5865826690010405	0.006115341003111079	(-9.41437, -7.2052)	(-0.0109312, 0.0119264)
2371e52106292ac4c33aec6f57cace35	-7.65596104000002	-0.00033086106981000034	0.2560135724529432	0.002601268195864559	(-8.13386, -7.15898)	(-0.00525159, 0.00456725)
913d55d109820d0f3fad120be103c64f	-8.93500488	0.005817201836240005	0.4024069030281233	0.004118247389312767	(-9.69137, -8.19723)	(-0.00215319, 0.0132706)
c82032c40c98975f71892e4be561c87a	-6.3277160449999945	-0.007602479395000008	0.17321606734858055	0.0017873220662511214	(-6.6678, -6.00452)	(-0.0109229, -0.00418423)
ac9166cff57e7ff3581eaf798edc726c	-7.260738945000009	0.000810294128119999	0.4990633380845932	0.005152697491932464	(-8.19806, -6.31688)	(-0.00948593, 0.0100953)
949af2c28ba6c0345ae58b9aed00a2c0	-6.59862198	-0.009781181953200007	0.5134905956463854	0.005329415584621673	(-7.49797, -5.59724)	(-0.0196798, 0.000146658)
8a261f382a739bbc5f9494b2c64c2744	-5.027360484999987	-0.0022618612292609986	0.17304940154711532	0.0017856526070920906	(-5.35111, -4.71728)	(-0.00549855, 0.00107498)
e91f1c5b67ffecb5ca3ca3b393a50f00	-4.726670429999993	0.0010600362025500016	0.3290457815592158	0.0033306195612462816	(-5.36834, -4.14445)	(-0.00533295, 0.0070853)
99b02f389bd0b7abad0d4d8affb09e22	-8.973336414999999	-0.008327325766679989	0.39282020371895054	0.004089024444592952	(-9.77835, -8.28164)	(-0.0152229, 0.000208032)
d3d99580d90cca486a23372a474e9571	-9.333900075	0.004134099822420003	0.30017272313127386	0.003051997142083179	(-9.88206, -8.75567)	(-0.00137579, 0.00992968)
7076b69bea6fb40b94f8b32fd85fdb46	-9.441215734999998	-0.0040100946027549975	0.3309888743697585	0.0034231502586447578	(-10.0984, -8.84237)	(-0.0100461, 0.00288175)
e82ab12c51a893c6d7938a16632199a8	-6.472901995000003	-0.01162836767059997	0.41549489058996925	0.004283447013453732	(-7.3052, -5.76992)	(-0.0196122, -0.00374094)
2ae945b550c248752a5b463c9aca1a6a	-8.786496574999997	-0.007418471322750001	0.369461940798534	0.0038168935832791537	(-9.50134, -8.10706)	(-0.0152067, -0.000828713)
b423592b0ae631882095792b27729b9c	-9.846930514999972	0.011184502354999994	0.48175124085526233	0.00493958206366606	(-10.7124, -8.90812)	(0.00134875, 0.0200644)
3f1ed51e954b35a8108c12dd882b696b	-6.900866519999988	-0.0016974621740149954	0.32203600038394736	0.003321760291031904	(-7.4962, -6.30561)	(-0.00772321, 0.00461642)
