Feature	Intercept_mean	daily_HEI_mean	Intercept_std	daily_HEI_std	Intercept_hdi	daily_HEI_hdi
60c57911662a9159dfdd0fc05d975a55	-4.152131175000007	-0.0019376518143199956	0.32415343071170705	0.0056377176722391805	(-4.68393, -3.51304)	(-0.0122855, 0.00845569)
1986030e3c5cd5df6d869054bc96e536	-10.26436542999998	0.04288509439499997	0.6228219905937127	0.010747818195176216	(-11.5218, -9.16862)	(0.0227139, 0.0637764)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.654536420000004	0.007529225823050006	0.43636755274605793	0.007556077820254031	(-6.5155, -4.86315)	(-0.00623716, 0.0222486)
059c8f8bb468064b134ea6d3661761ea	-4.916967820000003	0.00016506879645000007	0.47728165669450057	0.008251832851257808	(-5.79008, -4.01238)	(-0.0149917, 0.0153551)
8a9f7499cdb85b8efa497bb56256cb43	-8.008355889999994	0.027591823949999948	0.2825053087501328	0.004879620168918013	(-8.55368, -7.46842)	(0.018606, 0.0372429)
8dccd839cf4868a3343e411c063932a6	-9.615608710000014	0.007838511675050003	0.6919687602537676	0.011941430308961944	(-10.9333, -8.33376)	(-0.0148422, 0.0300958)
f402919ff0fe53fec5b6ef190f9e42b7	-7.123204874999996	0.0028876949900399963	0.32848744214990083	0.005697919819255014	(-7.75749, -6.53203)	(-0.00775911, 0.0133479)
f9382b37fc2cfd3cf606824a235802de	-11.268471115000008	0.02605428551624999	0.6323123367670492	0.010877263830171322	(-12.3564, -10.0379)	(0.00615295, 0.0464174)
1664c7d0b9dec6e07df8542c0c4049c7	-9.195613279999993	0.012387220270350002	0.46864216544933474	0.008130544815202641	(-10.0423, -8.30294)	(-0.00233705, 0.0276434)
3e5f388f7ad4f160c2a1cdd1441d00c0	-5.993314215	-0.009619848172800004	0.34653603651133275	0.006004800254436115	(-6.65509, -5.36183)	(-0.0207425, 0.00188277)
f5706d9ec821f971e4c08ee992995b40	-7.557943650000002	-0.006056584647634999	0.7806330177788262	0.013503267767014767	(-8.95133, -6.05407)	(-0.0313474, 0.0186164)
138eb7703e1255cf29760a4440de2a47	-10.619015735000012	0.03467699226999995	0.5689423982985968	0.009815658481979808	(-11.6655, -9.5456)	(0.0154769, 0.0521406)
56c3d1a8e4dc5c2aa7afbc1563559448	-7.77092561	0.005088144864585004	1.1020926285778918	0.01910101976484447	(-9.63472, -5.45867)	(-0.0353968, 0.0367099)
de61860db8d93da85692dffb5cf32ab9	-5.6161316600000015	0.009204385973949998	0.7584345327921488	0.013123639544969234	(-6.97071, -4.06722)	(-0.0180689, 0.0318279)
5c02713fbed5c1964b4410d9f8166555	-5.679310480000007	-0.007218980476099993	0.3064245387699387	0.005327088365388041	(-6.29679, -5.1562)	(-0.016758, 0.00295536)
12bb0c9249480c4cec2cc9f692018806	-9.834752869999999	0.025102775035	0.4279439137466065	0.007445176885514332	(-10.6427, -9.0379)	(0.0115204, 0.0392701)
b10627ff6db16c65eed2f21380dd700f	-11.474260375000009	0.09089631420000004	1.0324873518954159	0.017874214210742756	(-13.3711, -9.51745)	(0.0569722, 0.124177)
3f5f0d10bd5495e2c89d229c508dcdec	-7.17412476499999	0.0022004389820499968	0.6249837531505479	0.010769955587976823	(-8.36817, -6.05414)	(-0.0172221, 0.0230727)
de6891b6f7a1f35bd9ccbc058b9e1a77	-6.8451963250000025	0.004720957797685002	0.22243999754415644	0.003838756432154145	(-7.26802, -6.42277)	(-0.00296278, 0.0116661)
828c563319c7cee475b9b8ab6a0a048b	-9.097611604999978	0.02883117885000001	0.3808980824779434	0.006570227364134316	(-9.80403, -8.36875)	(0.0161556, 0.041122)
6a129e8ae637c96e7bb56223913911f7	-6.633529044999986	0.011016234495100006	0.4758076786115772	0.008261002487921443	(-7.52676, -5.7531)	(-0.00355171, 0.0271765)
1527fd8b14037f53b8edb26b111e1f72	-4.629126560000002	-0.020772862395000005	0.3580551045245222	0.006214355792094379	(-5.29327, -3.94056)	(-0.0328186, -0.00946513)
b3d06445a910a9a444919e41f5da39c3	-8.595828400000016	-0.024082953925000046	0.5856328620752417	0.010234119642852818	(-9.57454, -7.35175)	(-0.0437974, -0.00515629)
992072d045462445dc239b35300af2cc	-4.427851206500013	0.010654991224955007	1.0470385328635996	0.018144000646412264	(-6.60393, -2.64723)	(-0.0230215, 0.0452588)
2403a466dd6d1e4f551d80394c2aa994	-7.850927264999994	0.015300340608699982	1.0705431821440325	0.018532152860738293	(-9.81535, -5.77174)	(-0.0214293, 0.0490302)
cae14798faeabb8e1b8840e712839921	-9.806441734999996	0.044687301635000024	0.6780439471584713	0.011789065540999958	(-10.9452, -8.40707)	(0.0237567, 0.067927)
4311a44a7d56ce4086afad3e75bedd6e	-7.708285540000008	-0.007477872636650004	0.4803103512157615	0.008350851229548472	(-8.5457, -6.74554)	(-0.0231458, 0.00808662)
ab153c3e19553cead3d76fb9e00684c2	-8.236850735000012	0.023055570971500027	0.8197115352567684	0.014224863571792404	(-9.76857, -6.72628)	(-0.00340396, 0.0493646)
fc1856f132cd513b1251fa39ad4ccd01	-7.786313595000011	-0.005114342849750011	0.2903143558429827	0.005053013481125142	(-8.38213, -7.29208)	(-0.0142919, 0.00483708)
8ef31508d9a2fc6f83935de5607a686c	-8.536855329999996	0.02140077949155001	1.0655785159136761	0.0185035575107764	(-10.4687, -6.52286)	(-0.0151423, 0.0539996)
21ce8465657612a85e2f89e74d285ce1	-10.526513330000014	0.0064903910067200124	0.6313418974535207	0.010908448311476361	(-11.7474, -9.32757)	(-0.013888, 0.0277784)
69d052e452e79d571cba042af265d50c	-8.039994345000002	0.05035478906	0.8428973653225359	0.014620638799394726	(-9.54995, -6.40437)	(0.0215138, 0.0757934)
79d5bee84cddbb27acb4dd7df378c789	-10.371854274999992	0.05277087424999986	0.6760878873300237	0.011741617473251791	(-11.5792, -9.11589)	(0.031603, 0.0740093)
0f0a1f8c92368be6e8d3145bd4e94cd1	-4.642892475000002	-0.009765936339787512	0.5159553405472455	0.008924019988506844	(-5.5846, -3.68089)	(-0.0272624, 0.00602081)
64d05989cb6f8053633b2127793200b3	-5.948409055000005	-0.02627316169999995	0.39741444073467774	0.006895041572569123	(-6.67133, -5.22717)	(-0.0392843, -0.0141568)
bac3d8ea4685e825ef8d12b2a6979577	-6.5352111800000054	-0.016280093839899985	1.0308100334502024	0.01788474367262673	(-8.50389, -4.64864)	(-0.0508178, 0.0155759)
a8d23fd98a311df2db65e5842634aba3	-7.7823054749999985	0.009314307416554979	0.3258288988425892	0.005635111223183613	(-8.40001, -7.16846)	(-0.00205515, 0.0194413)
41239266f2952a56a313fc4798f28a1c	-6.571939849999998	-0.004548468031910405	0.4740577587988384	0.008228425818582446	(-7.4075, -5.69908)	(-0.0196479, 0.00983235)
