Feature	Intercept_mean	fatty_acids_monounsaturated_eaten_mean	Intercept_std	fatty_acids_monounsaturated_eaten_std	Intercept_hdi	fatty_acids_monounsaturated_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-5.201205810000002	0.010441137635180004	0.2139118657249848	0.008425182905333648	(-5.60005, -4.80049)	(-0.00286973, 0.0267511)
a6099802840e60febef8e896967b7747	-6.949826414999999	0.0005374014465450002	0.04697097543374815	0.0014529527147890452	(-7.03178, -6.85566)	(-0.00196681, 0.00350423)
904ad13c7b8512200836d5cd9fb09e1b	-8.919353385000012	-0.0004484018721250006	0.15040705883099964	0.00524480837808552	(-9.207, -8.63012)	(-0.0096865, 0.00992918)
1aab913302590e21a7be28b1494a3320	-9.128766620000002	0.0007586376360060005	0.08571282235975887	0.003069583341802593	(-9.28594, -8.96868)	(-0.00540479, 0.00606626)
e644522cf6d7222c9da7f9ecf614cd89	-8.681420839999996	-0.003300970904041504	0.12469542139146235	0.004476737830567873	(-8.91971, -8.46455)	(-0.0110782, 0.00532239)
bad4f7c5ada34a1f813946abcfe5c556	-4.702513535000001	0.0003741416745650008	0.052770972398220754	0.0017093945608479104	(-4.79631, -4.60277)	(-0.00279905, 0.00357412)
399bcf0feb12a20ca0731d8d65268dae	-6.338474370000011	0.002015746167420002	0.09622469813983893	0.0029381220866133316	(-6.52159, -6.15904)	(-0.00310756, 0.00734377)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.1725691850000075	-7.84870111450003e-05	0.1263798961211227	0.004686915525062621	(-7.40027, -6.93636)	(-0.00792403, 0.00866129)
c942f59feffce9c3ab527135de234101	-5.2171808800000035	-0.0004930028262150003	0.0807062077898943	0.002832945127335676	(-5.37543, -5.07914)	(-0.00556214, 0.0047627)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.727091140000004	-0.002870684828560001	0.1426924980782116	0.004395621882944628	(-8.97313, -8.45689)	(-0.0102784, 0.00561134)
7b2ff5940de11da4dc3bb208805dff11	-8.321643119999997	-0.0033137378128000033	0.08019817707570168	0.0028489152285687976	(-8.47215, -8.16993)	(-0.00863919, 0.00205737)
6c7fa77831ae630967a6fbfc8ee47901	-3.467050244999997	0.0003609066276149997	0.03863675271538713	0.0012482192974820805	(-3.53939, -3.39374)	(-0.0019405, 0.00262842)
6c83fec6e8d03fad51eabc871853c991	-8.283970425000016	-0.0037421179942560014	0.13878148763062526	0.00473127568685676	(-8.54734, -8.03638)	(-0.0115104, 0.00600755)
23597fea41001255f06321d42aefd3bd	-8.429310049999996	0.0011318472337585	0.1020359488288197	0.0036624001819827077	(-8.60892, -8.22344)	(-0.00561555, 0.00770154)
ee02d6d3506da57909d5e603709a295f	-6.812406994999988	0.001963279804839997	0.06659623497405817	0.0022428627481684647	(-6.94522, -6.68925)	(-0.00192157, 0.00629861)
e6a34eb113dba66df0b8bbec907a8f5d	-5.469038899999995	-0.0015071739821899512	0.07020436319837962	0.0024516705384963473	(-5.59114, -5.33446)	(-0.00569734, 0.00293637)
6c4de756c45fa6e7e5adfe196f9f0039	-5.615671934999998	0.007480476877750011	0.1874234248836194	0.006851614644654121	(-5.96336, -5.28015)	(-0.00405978, 0.019696)
60c57911662a9159dfdd0fc05d975a55	-4.295617215000001	0.0014292140019299974	0.06608925864385048	0.0023085887971135122	(-4.41068, -4.17096)	(-0.00241741, 0.0059739)
1986030e3c5cd5df6d869054bc96e536	-7.768913284999983	-0.0001057597935555001	0.11796172087910031	0.004202428300442422	(-8.00607, -7.5697)	(-0.00746789, 0.00722049)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.205996355000002	-0.0007211915166049993	0.0945796157994098	0.0033842174511637757	(-5.3907, -5.03644)	(-0.00643043, 0.00560525)
059c8f8bb468064b134ea6d3661761ea	-4.951738169999994	0.0019822179872865026	0.10212467231502423	0.0038188037502333693	(-5.15898, -4.77554)	(-0.00411754, 0.00989428)
8a9f7499cdb85b8efa497bb56256cb43	-6.359010605000004	-0.002301640430825001	0.05338262825193205	0.0017696631244296214	(-6.45526, -6.25657)	(-0.00573881, 0.000701758)
8dccd839cf4868a3343e411c063932a6	-9.174262559999999	0.0004619412544600003	0.1308954080598185	0.004745421142260536	(-9.42113, -8.92364)	(-0.0082089, 0.00942174)
f402919ff0fe53fec5b6ef190f9e42b7	-6.907047975000003	-0.0021701371312599998	0.05896512383137483	0.0018518935461084478	(-7.02083, -6.80302)	(-0.0056737, 0.00113539)
f9382b37fc2cfd3cf606824a235802de	-9.675514345000003	-0.003979211748880001	0.14396871046436088	0.005349829154325899	(-9.98054, -9.43542)	(-0.014036, 0.00617159)
1664c7d0b9dec6e07df8542c0c4049c7	-8.507598574999994	0.0010385712468400012	0.08152226717847938	0.002925832500395405	(-8.66067, -8.35724)	(-0.00425269, 0.00656366)
3e5f388f7ad4f160c2a1cdd1441d00c0	-6.549328429999998	0.00018694160198000026	0.06153909032424106	0.0019903224237020796	(-6.67383, -6.43583)	(-0.00338841, 0.00388565)
f5706d9ec821f971e4c08ee992995b40	-7.849610524999991	-0.002485572344860004	0.11542440339189283	0.00384747530467695	(-8.07543, -7.63958)	(-0.00895588, 0.00546201)
138eb7703e1255cf29760a4440de2a47	-8.652105225000017	0.0019338935597655008	0.11593826135900678	0.004351561116971994	(-8.86407, -8.44694)	(-0.0052182, 0.0107499)
56c3d1a8e4dc5c2aa7afbc1563559448	-7.674351200000002	0.008374113371744993	0.2627431099269017	0.010325561621563457	(-8.16794, -7.23726)	(-0.00785215, 0.0275281)
de61860db8d93da85692dffb5cf32ab9	-5.117504340000009	0.0011882740473499996	0.136749374876686	0.004606862226800706	(-5.38151, -4.87085)	(-0.00594136, 0.0096403)
5c02713fbed5c1964b4410d9f8166555	-6.082600239999998	-0.00036627924560800004	0.05753633756281679	0.0018325941219797808	(-6.2, -5.98494)	(-0.00363191, 0.00305877)
12bb0c9249480c4cec2cc9f692018806	-8.38980341000001	0.0003353977710900002	0.06976319313127732	0.0022350490934120735	(-8.52032, -8.255)	(-0.00384773, 0.00443987)
b10627ff6db16c65eed2f21380dd700f	-6.429684449999996	0.012949485265600013	0.23389793432648665	0.009222608860065566	(-6.85686, -5.99756)	(-0.000964098, 0.0297682)
3f5f0d10bd5495e2c89d229c508dcdec	-6.996310119999986	-0.0023301224477250016	0.14580127144193775	0.005412110864166817	(-7.26827, -6.72989)	(-0.0115269, 0.00781935)
de6891b6f7a1f35bd9ccbc058b9e1a77	-6.547279999999988	-0.001161248197569998	0.04012025245807909	0.0012846143809407298	(-6.61536, -6.46697)	(-0.00358792, 0.00114677)
828c563319c7cee475b9b8ab6a0a048b	-7.426006329999997	-6.216529917464003e-05	0.0662591139567313	0.0022236313101509134	(-7.54367, -7.30185)	(-0.00393824, 0.00427812)
6a129e8ae637c96e7bb56223913911f7	-5.9616849250000055	-0.001682058189235002	0.07545550550420023	0.002288938789989912	(-6.10308, -5.82611)	(-0.00583072, 0.00259231)
1527fd8b14037f53b8edb26b111e1f72	-5.7783086599999995	-0.001316872134766002	0.05939877604550792	0.0018349518818110949	(-5.89167, -5.67037)	(-0.00455847, 0.00213763)
b3d06445a910a9a444919e41f5da39c3	-9.964883495000018	0.0002347647513300003	0.1267094685993709	0.004639537539662101	(-10.2195, -9.73961)	(-0.00836339, 0.00918572)
992072d045462445dc239b35300af2cc	-4.130235935000003	0.013186868922699995	0.2579730551593053	0.010395890243954101	(-4.63128, -3.70948)	(-0.00232416, 0.0327082)
2403a466dd6d1e4f551d80394c2aa994	-7.030053960000006	0.002362852576324996	0.2274218559481881	0.00862690562111827	(-7.43401, -6.61427)	(-0.0102954, 0.0173291)
cae14798faeabb8e1b8840e712839921	-7.1057398599999955	-0.004285990153025002	0.1152838195757775	0.0037185469840951917	(-7.324, -6.89136)	(-0.0102685, 0.00321013)
4311a44a7d56ce4086afad3e75bedd6e	-7.995301730000004	-0.006363845529593003	0.09482268059703382	0.0034452171097817392	(-8.16488, -7.80939)	(-0.0128561, 0.000217739)
ab153c3e19553cead3d76fb9e00684c2	-6.628519789999999	-0.012717287385609996	0.18283298276748616	0.0071068092745446235	(-6.97011, -6.2996)	(-0.0252008, 0.000861178)
fc1856f132cd513b1251fa39ad4ccd01	-8.148212839999982	0.002937106652166004	0.051126946392625446	0.0015918979968071042	(-8.23949, -8.04812)	(-9.16639e-05, 0.005949)
8ef31508d9a2fc6f83935de5607a686c	-7.494948300000006	0.008156480499230003	0.2747824654629731	0.011191793793165756	(-8.00675, -7.01161)	(-0.00805948, 0.0301679)
21ce8465657612a85e2f89e74d285ce1	-9.481478709999994	-0.030924137944999982	0.2523394049960014	0.011210419046183223	(-9.92157, -8.97353)	(-0.0527164, -0.0109215)
69d052e452e79d571cba042af265d50c	-5.316373575000003	0.009037325232600018	0.2339151387487979	0.00948508422626527	(-5.72167, -4.891)	(-0.00554713, 0.0260206)
79d5bee84cddbb27acb4dd7df378c789	-7.3294942049999845	0.001377307046214998	0.13348168414942915	0.0045282504974517536	(-7.57369, -7.08281)	(-0.00552546, 0.0102994)
0f0a1f8c92368be6e8d3145bd4e94cd1	-5.202649574999992	0.00016999154631499957	0.13790082806375517	0.005262714727845062	(-5.46686, -4.9502)	(-0.00935462, 0.00981042)
64d05989cb6f8053633b2127793200b3	-7.585793575000003	0.006220594268100001	0.10747144835568832	0.004080021293075024	(-7.78651, -7.38741)	(-0.00152376, 0.0134203)
bac3d8ea4685e825ef8d12b2a6979577	-7.484990614999995	0.001293779756034998	0.18108064774865318	0.005874495920856231	(-7.81949, -7.12691)	(-0.00813254, 0.0126272)
a8d23fd98a311df2db65e5842634aba3	-7.260278349999992	0.0005681487752250003	0.06605759829858714	0.0022500275440346415	(-7.39016, -7.13702)	(-0.00357828, 0.00460277)
41239266f2952a56a313fc4798f28a1c	-6.829813590000001	-0.00017267828294499976	0.09454547341999993	0.003493122166252267	(-7.01943, -6.67524)	(-0.00630258, 0.00637369)
2b982979f2401a8bc447d7141879e9b2	-3.8915797000000105	0.0008603928786553995	0.036598715886079956	0.0012150342639927157	(-3.9559, -3.82026)	(-0.00141403, 0.00312604)
251429848560a80abcb96640ceb102db	-5.467423594999994	0.004070084315699999	0.08424628013761777	0.0030680186980659974	(-5.62605, -5.31246)	(-0.00138002, 0.00976589)
7b34b797cadb639f63827c6d332dd4e9	-8.167172344999996	-0.0011223062801919979	0.07870596213598421	0.00269203380893197	(-8.31969, -8.02739)	(-0.00600125, 0.00376904)
2a99ec1157a90661db7ff643b82f1914	-6.538134299999991	0.00617373361689999	0.29375943314455455	0.011264684677795556	(-7.05981, -5.98004)	(-0.0137499, 0.0268089)
2a7f11895ae7fe9fdffa52016207c561	-5.825902605000002	-0.007736532022120003	0.0886174591960521	0.0030587758981195554	(-6.00961, -5.67642)	(-0.013256, -0.00212854)
0cfd41d10227f0de9092d5cda028c12d	-8.440586305000028	-0.007188314654219995	0.11499932230712048	0.004277549800446271	(-8.64193, -8.20693)	(-0.0158163, 0.000714967)
a9387e76477da8688775569cf540191b	-6.189915419999992	0.005652801488790003	0.1866204273583777	0.007322643520252664	(-6.52059, -5.845)	(-0.00604612, 0.0197765)
bb769f42c78f86faa2801cb2c2abb8dc	-8.542309304999996	-0.0030024113017854005	0.17350778620934265	0.006786397740428495	(-8.87727, -8.23985)	(-0.0160356, 0.00921249)
68ee181a51a55ca3814763c9214cfd8a	-8.757992170000007	0.003939979851485014	0.12783395558180582	0.004631989035519249	(-9.00207, -8.524)	(-0.00432794, 0.012851)
88956ab21ebb7e44b2dd317dd412818a	-8.577359404999994	0.003856910238342003	0.1282803315360386	0.004604263491278124	(-8.84321, -8.36546)	(-0.0041754, 0.0124393)
