Feature	Intercept_mean	beta_carotene_eaten_mean	Intercept_std	beta_carotene_eaten_std	Intercept_hdi	beta_carotene_eaten_hdi
2a7f11895ae7fe9fdffa52016207c561	-5.991580179999997	-1.4081343158349988	0.05890742604687121	5.093157166926025	(-6.09481, -5.87647)	(-10.9612, 8.02915)
0cfd41d10227f0de9092d5cda028c12d	-8.598680745000001	-0.11389018056500003	0.061193882355959246	4.75710044897992	(-8.72043, -8.49048)	(-9.02908, 8.88509)
a9387e76477da8688775569cf540191b	-6.064266125000006	0.55875316776	0.0762016352110267	4.938006333152212	(-6.20363, -5.92029)	(-8.4981, 9.88416)
bb769f42c78f86faa2801cb2c2abb8dc	-8.614010915000001	0.1875603456200001	0.07999263838449633	4.8481799955645615	(-8.75699, -8.46096)	(-8.85105, 9.0487)
68ee181a51a55ca3814763c9214cfd8a	-8.67000184500001	1.1750281428800013	0.07012836835935929	4.956400904718805	(-8.80571, -8.53736)	(-7.28188, 11.0746)
88956ab21ebb7e44b2dd317dd412818a	-8.490130229999995	-0.23019379523499997	0.07639249074383624	5.040603349244743	(-8.63515, -8.35261)	(-9.95405, 9.14861)
ca9dec36ad0aa5a1473144ddcb74951d	-5.164212040000011	-1.3630205560574973	0.04524650988571826	4.877416853777966	(-5.25332, -5.08369)	(-10.5691, 7.34927)
ae171d16e3cb68ad19636a58839a1ef1	-8.954378040000005	0.6222573286899977	0.09102796031087591	4.966120082083572	(-9.11917, -8.78937)	(-8.87685, 9.5728)
77f4d90aa6eb8080927f59ee8bbac375	-9.183149919999993	4.036776475605006	0.053749894089138474	4.86317868745343	(-9.28604, -9.08504)	(-4.65372, 13.3241)
a7b427a226422d10e62536b8d41e02fe	-8.151425110000012	0.4746429966550004	0.10955049818776674	5.0394354813628786	(-8.34953, -7.94564)	(-9.03114, 9.66924)
2480f3aa1e7784b461d9b5b83a6bfc81	-7.928609169999999	-0.2257928048475003	0.07551951010375473	4.899057115654506	(-8.06644, -7.78906)	(-10.1153, 8.58135)
9000b563231e32a7003bf2ef20bf9a60	-7.433730644999983	2.4271888791500023	0.057096527288741275	4.911916040362623	(-7.54245, -7.3263)	(-6.43781, 11.7955)
a186bb74dfce512f83043f7b366c60c4	-6.353247165000007	-0.18496831653499984	0.1337976742077856	5.028884928789371	(-6.582, -6.08886)	(-10.0748, 8.58645)
aad2c8fbb5e1201340fe4357731fc9ee	-7.995847275	0.018537136594999785	0.08751356569483594	4.95285939444541	(-8.16399, -7.83668)	(-9.06873, 8.72669)
490d2aec117bd7289577684ba3cc1b64	-6.8435009049999875	0.3003808675249997	0.0919408128538734	5.002024971858984	(-7.01127, -6.6647)	(-8.9968, 9.89906)
457d3865cf0a4bc602a07d8d5324388f	-8.642351530000001	-0.6583273425550007	0.09013406150706338	4.788578799559712	(-8.79904, -8.46503)	(-9.59147, 8.44041)
552e00cb506f739acaf08aa5641f9d84	-6.653775879999991	1.0769045768590004	0.06376560674004128	4.811386666360182	(-6.7717, -6.53571)	(-8.15064, 9.74109)
9dc78fd8f2f7cb10e190e77af61c7ecd	-8.154598119999998	1.8013492187649978	0.045000648811607154	4.7017101552879765	(-8.23557, -8.06914)	(-6.71421, 11.0564)
a3607a88a8ed64e24a374847b23e404f	-6.4457066250000015	-0.4470805431299993	0.05338687677378565	4.89945177335315	(-6.54723, -6.35244)	(-9.34479, 8.94468)
5bb151262388870fd53a84ea6f1ffdf2	-9.426789679999997	0.4541680346150003	0.091457926764702	5.162155304913363	(-9.60033, -9.25402)	(-9.54981, 10.065)
f7962a90f4519ec1d1a9c7b8ef7bf396	-9.063557454999989	1.945303024355002	0.06560561775239195	4.730940323212365	(-9.18545, -8.93662)	(-6.83796, 10.9734)
77ad88eed91eef009bf64f101c96baa6	-5.201933394999999	-0.2907247172449996	0.10081330633960973	5.019462032696122	(-5.37634, -5.00422)	(-9.4224, 9.67616)
08be83d0a527ddd1da0861135192e593	-8.52284816500001	0.15570296787	0.11187584436277008	4.782543539633711	(-8.72176, -8.31073)	(-8.90563, 9.04597)
b61862b15d33865612e76c1db7b995a1	-8.987344430000014	0.5746029326500005	0.056525042357127846	4.859511908236796	(-9.09497, -8.884)	(-7.80267, 10.1796)
14f11556b1fc9132c5ab27b67a2479bf	-9.197383294999991	0.47433913022500024	0.06633009480841236	4.910051918336118	(-9.31864, -9.06847)	(-9.70392, 8.76249)
